"cast_members","appearance_count"
" Anupam Kher","39"
" Rupa Bhimani","31"
" Takahiro Sakurai","30"
" Julie Tejwani","28"
" Om Puri","27"
"Shah Rukh Khan","26"
" Rajesh Kava","26"
" Yuki Kaji","25"
" Boman Irani","25"
" Paresh Rawal","25"
" Andrea Libman","25"
" Vincent Tong","24"
" Jigna Bhardwaj","23"
"Akshay Kumar","23"
" Junichi Suwabe","21"
" Fred Tatasciore","21"
"Amitabh Bachchan","20"
" John Cleese","20"
" Kareena Kapoor","20"
"David Attenborough","20"
" Naseeruddin Shah","20"
"Adam Sandler","20"
" Ai Kayano","19"
" Daisuke Ono","18"
" Yashpal Sharma","18"
"Vatsal Dubey","18"
" Gulshan Grover","18"
" Fortune Feimster","17"
" Erin Fitzgerald","17"
" Kana Hanazawa","17"
" Rajesh Sharma","17"
" Asrani","17"
" Alessandro Juliani","17"
" Tomokazu Sugita","16"
" Kari Wahlgren","16"
" Hassan Hosny","16"
" Alfred Molina","16"
" Kay Kay Menon","16"
"Nicolas Cage","16"
" Manoj Joshi","16"
" Michael Palin","16"
" Tara Strong","16"
" Fred Armisen","16"
" Vijay Raaz","16"
" Maya Rudolph","16"
" Amrish Puri","16"
" Tinnu Anand","16"
" Molly Shannon","16"
"Ajay Devgn","16"
" Yuichi Nakamura","16"
" Brian Drummond","16"
" Diana Kaarina","16"
" Rajpal Yadav","15"
" Pankaj Tripathi","15"
" Miyuki Sawashiro","15"
" Sam Vincent","15"
" Kathleen Barr","15"
" Eric Idle","15"
" Samuel L. Jackson","15"
" Sean Astin","15"
" Takehito Koyasu","15"
" Ashleigh Ball","15"
" Laurence Fishburne","14"
" Kazuhiko Inoue","14"
" Kulbhushan Kharbanda","14"
"Michela Luci","14"
" Jackie Shroff","14"
" Ian James Corlett","14"
" Mousam","14"
" Shakti Kapoor","14"
" Kevin Michael Richardson","14"
" Grey Griffin","14"
" Shaffy Bello","14"
" Yoshimasa Hosoya","14"
"Aamir Khan","14"
" Swapnil","14"
" Tabitha St. Germain","14"
" Sharat Saxena","14"
" Seth Rogen","14"
" Terry Jones","14"
" Mamoru Miyano","14"
" Danny Trejo","14"
" Bimbo Manuel","14"
" Blossom Chukwujekwu","14"
"David Spade","13"
" David Koechner","13"
" Tina Mba","13"
" Saori Hayami","13"
" Robb Wells","13"
" Joan Cusack","13"
"Ahmed Helmy","13"
" Cassandra Morris","13"
" Seema Biswas","13"
" Hiroshi Kamiya","13"
" Keith David","13"
" Michael Peña","13"
" Radhika Apte","13"
" Brendan Gleeson","13"
" Terry Gilliam","13"
" Cindy Robinson","13"
" Vipin Sharma","13"
" Debi Derryberry","13"
" Rob Riggle","13"
" Mike Epps","13"
" Cory Doran","13"
" Eric Peterson","13"
" Jamie Watson","13"
" Katrina Kaif","13"
" Ben Kingsley","13"
" Mahesh Manjrekar","13"
" Dee Bradley Baker","13"
" Yoko Hikasa","13"
" Julie Lemieux","13"
" Willem Dafoe","13"
" Nassar","13"
"Anil Kapoor","13"
" Fumiko Orikasa","13"
" Kate Higgins","13"
" Mohnish Bahl","13"
" Priyanka Chopra","13"
" Manoj Bajpayee","13"
" Jim Broadbent","13"
" Sanjay Mishra","13"
" Rosario Dawson","13"
" Rajit Kapoor","13"
" Minako Kotobuki","12"
" Kazuya Nakai","12"
" Laura Linney","12"
" Bruce Greenwood","12"
" Stanley Tucci","12"
" Toyin Abraham","12"
" Sayaka Ohara","12"
"Salman Khan","12"
" John Dunsworth","12"
" Pavan Malhotra","12"
" Ranvir Shorey","12"
" Adil Hussain","12"
" Paul Dobson","12"
" Saurabh Shukla","12"
" Houko Kuwashima","12"
" Kathryn Hahn","12"
" Dermot Mulroney","12"
" Laura Bailey","12"
"Naseeruddin Shah","12"
" Satoshi Hino","12"
" Ray Liotta","12"
" Katsuyuki Konishi","12"
" Morgan Freeman","12"
" Nawazuddin Siddiqui","12"
" Jun Fukuyama","12"
" Richard Mofe-Damijo","12"
" John Malkovich","12"
" Tony Hale","12"
" Robert Patrick","12"
" John Michael Higgins","12"
" Salma Hayek","12"
" Kenjiro Tsuda","12"
" Anna Claire Bartlam","12"
" James Franco","12"
" Jane Krakowski","11"
" Tony Todd","11"
" B.N. Sharma","11"
" Nobuhiko Okamoto","11"
" Michael Madsen","11"
" Sabina Malik","11"
" William H. Macy","11"
" Nick Swardson","11"
" Dalip Tahil","11"
" Kenta Miyake","11"
" Danny McBride","11"
" Steven Yeun","11"
" Nicole Oliver","11"
" Glenn Close","11"
" Sunil Shetty","11"
" Liev Schreiber","11"
" John Leguizamo","11"
" Jacki Weaver","11"
" Ben Mendelsohn","11"
" Lucy Liu","11"
" David Cross","11"
" Peter Facinelli","11"
" Alok Nath","11"
" Gary Cole","11"
" Tom Kenny","11"
" Sam Shepard","11"
" Javed Sheikh","11"
" Britt McKillip","11"
" Erin Mathews","11"
" Adam Scott","11"
" Woody Harrelson","11"
" Johny Lever","11"
" Steve Zahn","11"
" Konkona Sen Sharma","11"
" Koichi Yamadera","11"
" Harvey Keitel","11"
" Steve Buscemi","11"
" London Hughes","11"
"Shahid Kapoor","11"
" Stephen Lang","11"
" Satish Shah","11"
" Nicole Anthony","11"
" Patrick Warburton","11"
" John Paul Tremblay","11"
" Amber Heard","11"
" Chris Parnell","11"
" Stephanie Sheh","11"
"Sanjay Dutt","11"
" Bobby Cannavale","11"
" Jigna Bharadhwaj","11"
" Jada Pinkett Smith","10"
" Janeane Garofalo","10"
" M・A・O","10"
"Ramsey Nouah","10"
" Daisuke Namikawa","10"
" Kevin Corrigan","10"
" Kohsuke Toriumi","10"
" Tim Blake Nelson","10"
" Nolan North","10"
" Raghuvir Yadav","10"
"Junko Takeuchi","10"
" Yukari Tamura","10"
" Susan Sarandon","10"
" Bayoumi Fouad","10"
" Bruce Willis","10"
" Prem Chopra","10"
" Aoi Yuki","10"
" Divya Dutta","10"
" Carla Gugino","10"
"Samuel West","10"
" Zakir Hussain","10"
" Bruce Dern","10"
" Andy Richter","10"
" Tiffany Haddish","10"
" Robert Pattinson","10"
" James Remar","10"
" Ryohei Kimura","10"
" Christina Hendricks","10"
" Ron Perlman","10"
" Juhi Chawla","10"
" Mikako Komatsu","10"
" Raj Babbar","10"
"Eddie Murphy","10"
" Kathy Bates","10"
" Ramya Krishnan","10"
" Chie Nakamura","10"
" Chris Rock","10"
" Rikiya Koyama","10"
" Hiroki Yasumoto","10"
"Elyse Maloway","10"
" Terry Crews","10"
" John Carroll Lynch","10"
" Brijendra Kala","10"
" Keith Wickham","10"
"Will Smith","10"
" Sardar Sohi","10"
" Don Cheadle","10"
" Sachin Khedekar","10"
" Jeff Bennett","10"
" Neha Dhupia","10"
" Jason Isaacs","10"
" Jason Schwartzman","10"
" Segun Arinze","10"
" Ali Nuhu","10"
" Kalki Koechlin","10"
" Shraddha Kapoor","10"
" Arjun Rampal","10"
" Johnny Lever","10"
"Harrison Ford","10"
" Mukesh Tiwari","10"
" Grey DeLisle","10"
" James Cromwell","10"
" James Marsden","10"
" Anthony Anderson","10"
" Amrita Rao","10"
" Shannon Chan-Kent","10"
" Judy Greer","10"
" Lena Headey","10"
" Sathyaraj","10"
" Saif Ali Khan","10"
" Mohammed Tharwat","10"
" Jon Lovitz","10"
" John C. Reilly","10"
"Jack Black","10"
" Karamjit Anmol","10"
" Manoj Pahwa","10"
" Rebecca Shoichet","10"
" Rie Kugimiya","10"
" Jane Lynch","10"
" Toshiyuki Morikawa","10"
" Helena Bonham Carter","10"
" Zoe Saldana","10"
" Paul Schrier","10"
" Alan Cumming","10"
" Joke Silva","9"
" James Hong","9"
" Colm Feore","9"
" Lake Bell","9"
" Farida Jalal","9"
" Sheeba Chaddha","9"
" Natsuki Hanae","9"
" Mike Vogel","9"
" Pedro Casablanc","9"
" Cate Blanchett","9"
" Megumi Han","9"
" Luis Guzmán","9"
" Gary Oldman","9"
"Kappei Yamaguchi","9"
" Vivica A. Fox","9"
" Cedric the Entertainer","9"
" Lotfy Labib","9"
" Satsuki Yukino","9"
" Reema Lagoo","9"
" Sam Neill","9"
" Parker Posey","9"
" Sean Bean","9"
" Bruce McGill","9"
" Mahershala Ali","9"
" T.J. Miller","9"
" Scoot McNairy","9"
" Catherine O'Hara","9"
" Adam Pally","9"
" Christopher Meloni","9"
" Dustin Hoffman","9"
" Maaya Sakamoto","9"
" Jim Cummings","9"
" Rob Schneider","9"
" Kazuhiro Yamaji","9"
" Yuhko Kaida","9"
" Clancy Brown","9"
" Salih Kalyon","9"
" Kim Coates","9"
" Cezmi Baskın","9"
"Nawazuddin Siddiqui","9"
" Keith Silverstein","9"
" Loretta Devine","9"
"Kevin Hart","9"
" Zachary Quinto","9"
" Keegan-Michael Key","9"
" Jennifer Ehle","9"
" Govind Namdeo","9"
" Kaito Ishikawa","9"
" Supriya Pathak","9"
" Luke Wilson","9"
" Guy Pearce","9"
" Koji Yusa","9"
" Steve Blum","9"
" Christopher Lee","9"
" Prakash Raj","9"
" Nicolas Aqui","9"
" Paul Giamatti","9"
" Akio Otsuka","9"
" Richard Jenkins","9"
" Cathy Weseluck","9"
" Salli Saffioti","9"
" Vidya Balan","9"
" Jimmy Shergill","9"
" Seth Green","9"
" Andy Samberg","9"
" Joe Pantoliano","9"
" Rajendranath Zutshi","9"
" Frank Langella","9"
" Kate Walsh","9"
" Shah Rukh Khan","9"
"Samuel L. Jackson","9"
" John DiMaggio","9"
" Terrence Howard","9"
"Donnie Yen","9"
" Rajkummar Rao","9"
" Haruka Tomatsu","9"
" Cherami Leigh","9"
" Manu Rishi Chadha","9"
" Reina Ueda","9"
" Cam Clarke","9"
" Helen Mirren","9"
" Danny Glover","9"
" Patricia Clarkson","9"
