"casts","titles_they_acted","ranking"
"anupam kher","43","1"
"shah rukh khan","35","2"
"julie tejwani","33","3"
"takahiro sakurai","32","4"
"naseeruddin shah","32","4"
"rupa bhimani","31","6"
"om puri","30","7"
"akshay kumar","30","7"
"yuki kaji","29","9"
"paresh rawal","28","10"
"amitabh bachchan","28","10"
"boman irani","27","12"
"vincent tong","26","13"
"rajesh kava","26","13"
"andrea libman","25","15"
"kareena kapoor","25","15"
"samuel l. jackson","24","17"
"john cleese","24","17"
"tara strong","23","19"
"fred tatasciore","23","19"
"jigna bhardwaj","23","19"
"daisuke ono","22","22"
"nicolas cage","21","23"
"ashleigh ball","21","23"
"nawazuddin siddiqui","21","23"
"ajay devgn","21","23"
"junichi suwabe","21","23"
"kay kay menon","21","23"
"david attenborough","20","29"
"adam sandler","20","29"
"salman khan","20","29"
"yuichi nakamura","19","32"
"morgan freeman","19","32"
"fred armisen","19","32"
"erin fitzgerald","19","32"
"seth rogen","19","32"
"james franco","19","32"
"david spade","19","32"
"ai kayano","19","32"
"gulshan grover","19","32"
"mamoru miyano","19","32"
"kana hanazawa","18","42"
"yashpal sharma","18","42"
"diana kaarina","18","42"
"fortune feimster","18","42"
"anil kapoor","18","42"
"debi derryberry","18","42"
"rajesh sharma","18","42"
"laura bailey","18","42"
"vatsal dubey","18","42"
"brian drummond","17","51"
"alessandro juliani","17","51"
"priyanka chopra","17","51"
"kate higgins","17","51"
"asrani","17","51"
"michela luci","17","51"
"bruce willis","17","51"
"jackie shroff","17","51"
"saif ali khan","17","51"
"molly shannon","17","51"
"danny trejo","17","51"
"rajpal yadav","17","51"
"miyuki sawashiro","16","63"
"alfred molina","16","63"
"blossom chukwujekwu","16","63"
"hassan hosny","16","63"
"aamir khan","16","63"
"jun fukuyama","16","63"
"hiroshi kamiya","16","63"
"yoshimasa hosoya","16","63"
"sam vincent","16","63"
"tinnu anand","16","63"
"mike epps","16","63"
"manoj bajpayee","16","63"
"manoj joshi","16","63"
"laurence fishburne","16","63"
"sanjay mishra","16","63"
"tomokazu sugita","16","63"
"robb wells","16","63"
"kristen stewart","16","63"
"vijay raaz","16","63"
"kari wahlgren","16","63"
"maya rudolph","16","63"
"amrish puri","16","63"
"michael palin","16","63"
"ben kingsley","15","86"
"toyin abraham","15","86"
"richard mofe-damijo","15","86"
"pankaj tripathi","15","86"
"adil hussain","15","86"
"chris rock","15","86"
"antonio banderas","15","86"
"radhika apte","15","86"
"sanjay dutt","15","86"
"keith david","15","86"
"john paul tremblay","15","86"
"kathleen barr","15","86"
"sonal kaushal","15","86"
"eric idle","15","86"
"takehito koyasu","15","86"
"michael peña","15","86"
"willem dafoe","15","86"
"sean astin","15","86"
"erin mathews","15","86"
"grey griffin","15","86"
"liam neeson","14","106"
"ranvir shorey","14","106"
"john abraham","14","106"
"demet akbağ","14","106"
"sharat saxena","14","106"
"samuel west","14","106"
"rajkummar rao","14","106"
"pierce brosnan","14","106"
"bimbo manuel","14","106"
"tony hale","14","106"
"guy pearce","14","106"
"terry jones","14","106"
"swapnil","14","106"
"kulbhushan kharbanda","14","106"
"kazuhiko inoue","14","106"
"kevin michael richardson","14","106"
"shakti kapoor","14","106"
"sabina malik","14","106"
"shaffy bello","14","106"
"tabitha st. germain","14","106"
"natsuki hanae","14","106"
"yoko hikasa","14","106"
"kenjiro tsuda","14","106"
"woody harrelson","14","106"
"helen mirren","14","106"
"pavan malhotra","14","106"
"yoshitsugu matsuoka","14","106"
"sachin khedekar","14","106"
"katrina kaif","14","106"
"ramsey nouah","14","106"
"dee bradley baker","14","106"
"rosario dawson","14","106"
"john travolta","14","106"
"johnny depp","14","106"
"ian james corlett","14","106"
"mousam","14","106"
"irrfan khan","14","106"
"laura linney","13","143"
"cindy robinson","13","143"
"omoni oboli","13","143"
"ahmed helmy","13","143"
"rajit kapoor","13","143"
"will ferrell","13","143"
"tina mba","13","143"
"shahid kapoor","13","143"
"maaya sakamoto","13","143"
"dennis quaid","13","143"
"ricky gervais","13","143"
"stanley tucci","13","143"
"joan cusack","13","143"
"ron perlman","13","143"
"tiffany haddish","13","143"
"seema biswas","13","143"
"david cross","13","143"
"james marsden","13","143"
"cory doran","13","143"
"vipin sharma","13","143"
"mithun chakraborty","13","143"
"mahesh manjrekar","13","143"
"rob riggle","13","143"
"gerard butler","13","143"
"liev schreiber","13","143"
"rishi kapoor","13","143"
"terry gilliam","13","143"
"eric peterson","13","143"
"john c. reilly","13","143"
"graham chapman","13","143"
"kevin hart","13","143"
"jackie chan","13","143"
"julie lemieux","13","143"
"brendan gleeson","13","143"
"jamie watson","13","143"
"cassandra morris","13","143"
"nana patekar","13","143"
"saori hayami","13","143"
"jim broadbent","13","143"
"ray liotta","13","143"
"fumiko orikasa","13","143"
"amy adams","13","143"
"mohnish bahl","13","143"
"ryan reynolds","13","143"
"david koechner","13","143"
"nassar","13","143"
"abhishek bachchan","13","143"
"robert de niro","12","190"
"steve buscemi","12","190"
"christina hendricks","12","190"
"jacki weaver","12","190"
"stephanie sheh","12","190"
"london hughes","12","190"
"susan sarandon","12","190"
"ken jeong","12","190"
"paul dobson","12","190"
"john malkovich","12","190"
"nobuhiko okamoto","12","190"
"salma hayek","12","190"
"ben mendelsohn","12","190"
"will smith","12","190"
"minako kotobuki","12","190"
"junko takeuchi","12","190"
"juhi chawla","12","190"
"justin long","12","190"
"britt mckillip","12","190"
"javed sheikh","12","190"
"elyse maloway","12","190"
"sayaka ohara","12","190"
"dermot mulroney","12","190"
"jeff dunham","12","190"
"patton oswalt","12","190"
"george clooney","12","190"
"katsuyuki konishi","12","190"
"danny mcbride","12","190"
"john dunsworth","12","190"
"eddie murphy","12","190"
"america young","12","190"
"steven yeun","12","190"
"jimmy shergill","12","190"
"adam scott","12","190"
"naomi watts","12","190"
"saurabh shukla","12","190"
"harrison ford","12","190"
"kazuya nakai","12","190"
"william h. macy","12","190"
"tom kenny","12","190"
"vidya balan","12","190"
"martin lawrence","12","190"
"nick swardson","12","190"
"stephen fry","12","190"
"jason schwartzman","12","190"
"judy greer","12","190"
"jack black","12","190"
"anna claire bartlam","12","190"
"glenn close","12","190"
"bruce greenwood","12","190"
"anton yelchin","12","190"
"rikiya koyama","12","190"
"rie kugimiya","12","190"
"kathryn hahn","12","190"
"satoshi hino","12","190"
"johnny yong bosch","12","190"
"raghuvir yadav","12","190"
"john michael higgins","12","190"
"robert pattinson","12","190"
"paul giamatti","12","190"
"robert patrick","12","190"
"chris parnell","12","190"
"halle berry","12","190"
"cate blanchett","12","190"
"loretta devine","12","190"
"andy samberg","12","190"
"john leguizamo","12","190"
"houko kuwashima","12","190"
"michael jai white","11","258"
"johny lever","11","258"
"viola davis","11","258"
"lucy liu","11","258"
"alison brie","11","258"
"jessica chastain","11","258"
"nicole oliver","11","258"
"harvey keitel","11","258"
