"director","type","title_produced"
"Rajiv Chilaka","Movie","22"
"Jan Suter","Movie","21"
"Raúl Campos","Movie","19"
"Suhas Kadav","Movie","16"
"Jay Karas","Movie","15"
"Marcus Raboy","Movie","15"
"Cathy Garcia-Molina","Movie","13"
"Martin Scorsese","Movie","12"
"Jay Chapman","Movie","12"
"Youssef Chahine","Movie","12"
"Steven Spielberg","Movie","11"
"Don Michael Paul","Movie","10"
"David Dhawan","Movie","9"
"Yılmaz Erdoğan","Movie","9"
"Shannon Hartman","Movie","9"
"Hanung Bramantyo","Movie","8"
"Robert Rodriguez","Movie","8"
"Kunle Afolayan","Movie","8"
"Justin G. Dyck","Movie","8"
"Umesh Mehra","Movie","8"
"Lance Bangs","Movie","8"
"Hakan Algül","Movie","8"
"Fernando Ayllón","Movie","8"
"Johnnie To","Movie","8"
"Anurag Kashyap","Movie","8"
"Troy Miller","Movie","8"
"Dibakar Banerjee","Movie","7"
"Clint Eastwood","Movie","7"
"Omoni Oboli","Movie","7"
"Noah Baumbach","Movie","7"
"Quentin Tarantino","Movie","7"
"Ryan Polito","Movie","7"
"Leslie Small","Movie","7"
"Ron Howard","Movie","7"
"Ozan Açıktan","Movie","7"
"Prakash Satam","Movie","7"
"Toshiya Shinohara","Movie","7"
"Hidenori Inoue","Movie","7"
"McG","Movie","7"
"Mae Czarina Cruz","Movie","7"
"Ram Gopal Varma","Movie","7"
"S.S. Rajamouli","Movie","7"
"Lasse Hallström","Movie","7"
"Vlad Yudin","Movie","6"
"Jesse V. Johnson","Movie","6"
"Matt Askem","Movie","6"
"Steve Brill","Movie","6"
"Wong Jing","Movie","6"
"Milan Luthria","Movie","6"
"Robert Vince","Movie","6"
"Steve Ball","Movie","6"
"Sameh Abdulaziz","Movie","6"
"Ashutosh Gowariker","Movie","6"
"Riri Riza","Movie","6"
"Zoya Akhtar","Movie","6"
"Rajkumar Santoshi","Movie","6"
"Tilak Shetty","Movie","6"
"Sooraj R. Barjatya","Movie","6"
"Joey So","Movie","6"
"Manny Rodriguez","Movie","6"
"Kevin Smith","Movie","6"
"Anees Bazmee","Movie","6"
"David Fincher","Movie","6"
"Priyadarshan","Movie","6"
"William Lau","Movie","6"
"Steven Soderbergh","Movie","6"
"Imtiaz Ali","Movie","6"
"Robert Luketic","Movie","6"
"Rocky Soraya","Movie","6"
"Karan Johar","Movie","6"
"Wenn V. Deramas","Movie","6"
"Spike Lee","Movie","5"
"David Batty","Movie","5"
"Mahesh Manjrekar","Movie","5"
"Poj Arnon","Movie","5"
"Lana Wachowski","Movie","5"
"Mani Ratnam","Movie","5"
"Jay Roach","Movie","5"
"Rohit Shetty","Movie","5"
"Thierry Donard","Movie","5"
"Madhur Bhandarkar","Movie","5"
"Lilly Wachowski","Movie","5"
"Kıvanç Baruönü","Movie","5"
"Nagesh Kukunoor","Movie","5"
"Detlev Buck","Movie","5"
"Paul Thomas Anderson","Movie","5"
"Shigeaki Kubo","Movie","5"
"Mastan Alibhai Burmawalla","Movie","5"
"Wilson Yip","Movie","5"
"Niyi Akinmolayan","Movie","5"
