"countries","genres","genre_count","ranking_per_country"
"India"," International Movies","807","1"
"United States","Documentaries","429","1"
"United Kingdom","British TV Shows","216","1"
"Japan","Anime Series","136","1"
"South Korea"," Korean TV Shows","131","1"
" United States","Dramas","118","1"
"France"," International Movies","115","1"
"Spain"," International Movies","102","1"
"Egypt"," International Movies","94","1"
" France"," International Movies","89","1"
"Nigeria"," International Movies","80","1"
"Indonesia"," International Movies","79","1"
"Turkey"," International Movies","78","1"
"Philippines"," International Movies","67","1"
"Hong Kong"," International Movies","66","1"
"Taiwan","International TV Shows","65","1"
"Mexico"," International Movies","59","1"
" Belgium"," International Movies","48","1"
" United Kingdom","Dramas","45","1"
" Germany"," International Movies","45","1"
"Argentina"," International Movies","45","1"
"Germany"," International Movies","44","1"
"China"," International Movies","42","1"
" Canada","Children & Family Movies","40","1"
"Canada","Children & Family Movies","39","1"
"Brazil"," International Movies","38","1"
"Italy"," International Movies","38","1"
"Thailand"," International Movies","36","1"
" China","Action & Adventure","32","1"
"South Africa"," International Movies","28","1"
" Spain"," International Movies","24","1"
"Colombia"," Spanish-Language TV Shows","24","1"
" India"," International Movies","19","1"
" Netherlands"," International Movies","18","1"
"Poland"," International Movies","18","1"
"Australia"," International Movies","18","1"
"Netherlands"," International Movies","17","1"
"Lebanon"," International Movies","17","1"
" Hong Kong","Action & Adventure","16","1"
"Pakistan"," International Movies","16","1"
"Singapore"," TV Dramas","15","1"
"Malaysia"," International Movies","15","1"
"United Arab Emirates"," International Movies","15","1"
"Chile"," International Movies","13","1"
" Japan","Kids' TV","12","1"
" Argentina"," International Movies","12","1"
" Sweden"," International Movies","12","1"
" Italy"," International Movies","12","1"
" Australia","Dramas","12","1"
"Denmark"," International Movies","12","1"
" South Africa"," International Movies","10","1"
" Denmark"," International Movies","10","1"
"Norway"," International Movies","10","1"
" Mexico"," International Movies","10","1"
" Switzerland"," International Movies","9","1"
"Israel"," International Movies","9","1"
" Qatar"," International Movies","9","1"
" Poland","Dramas","9","1"
"Belgium"," International Movies","8","1"
"Uruguay"," International Movies","8","1"
"Romania"," International Movies","8","1"
"Ireland"," International Movies","8","1"
" United Arab Emirates"," International Movies","8","1"
" Jordan"," International Movies","7","1"
" South Korea","Children & Family Movies","7","1"
"Russia"," TV Dramas","7","1"
"Saudi Arabia"," International Movies","7","1"
" Brazil","Dramas","7","1"
"Vietnam"," International Movies","7","1"
" Colombia"," Spanish-Language TV Shows","6","1"
" Czech Republic"," International Movies","6","1"
" Nigeria"," International Movies","6","1"
" Norway"," International Movies","6","1"
"Peru"," International Movies","6","1"
" Singapore"," International Movies","6","1"
" Luxembourg"," International Movies","6","1"
"Sweden"," International Movies","6","1"
""," International Movies","5","1"
" Ireland","British TV Shows","5","1"
" Lebanon"," International Movies","5","1"
" New Zealand"," International Movies","5","1"
"Austria"," International Movies","5","1"
"Switzerland"," International Movies","5","1"
" Egypt"," International Movies","4","1"
" Iceland","Dramas","4","1"
"New Zealand","Action & Adventure","4","1"
" Israel"," International Movies","4","1"
" Morocco","Dramas","4","1"
"Ghana"," International Movies","4","1"
" Finland"," International Movies","4","1"
"Czech Republic"," International Movies","4","1"
"Kuwait"," International Movies","4","1"
" Peru"," International Movies","4","1"
" Uruguay"," International Movies","4","1"
" Philippines"," International Movies","3","1"
" Greece","Dramas","3","1"
" Hungary","Dramas","3","1"
"Iceland"," TV Dramas","3","1"
"Hungary"," International Movies","3","1"
"Bangladesh"," Independent Movies","3","1"
" Serbia"," International Movies","3","1"
" Bulgaria","Action & Adventure","3","1"
" Chile"," International Movies","3","1"
"Portugal","Dramas","3","1"
" Russia"," International Movies","3","1"
" Algeria"," International Movies","3","1"
" Austria","Dramas","3","1"
" Zimbabwe"," International Movies","2","1"
" Saudi Arabia"," International Movies","2","1"
" Portugal"," International Movies","2","1"
" Soviet Union"," International Movies","2","1"
" Pakistan"," International Movies","2","1"
" Taiwan"," International Movies","2","1"
" Thailand","Horror Movies","2","1"
" Turkey"," International Movies","2","1"
" Nepal"," International Movies","2","1"
"Bulgaria","International Movies","2","1"
" Malaysia"," International Movies","2","1"
"Finland"," International TV Shows","2","1"
" Kenya","Dramas","2","1"
"Georgia"," International Movies","2","1"
" Iraq","Documentaries","2","1"
" Iran"," Independent Movies","2","1"
" Indonesia"," Sci-Fi & Fantasy","2","1"
"Jordan","International TV Shows","2","1"
"Kenya","Comedies","2","1"
" Croatia"," Independent Movies","2","1"
" Cayman Islands","Children & Family Movies","2","1"
