"years","type","content_count"
"2021","Movie","993"
"2021","TV Show","505"
"2020","Movie","1284"
"2020","TV Show","594"
"2019","Movie","1424"
"2019","TV Show","575"
"2018","Movie","1237"
"2018","TV Show","388"
"2017","Movie","839"
"2017","TV Show","325"
"2016","Movie","253"
"2016","TV Show","165"
"2015","Movie","56"
"2015","TV Show","17"
"2014","Movie","19"
"2014","TV Show","4"
"2013","Movie","6"
"2013","TV Show","4"
"2012","Movie","3"
"2011","Movie","13"
"2010","Movie","1"
"2009","Movie","2"
"2008","Movie","1"
"2008","TV Show","1"
